MOVIE_NAME,LEAD_ACTOR,LEAD_ACTRESS,YEAR_OF_RELEASE,DIRECTOR_NAME
Memento,Guy Pearce,Carrie-Anne Moss,2000,Christopher Nolan
A Beautiful Mind,Russell Crowe,Jennifer Connelly,2001,Ron Howard
The Man Who Knew Infinity,Dev Patel,Devika Bhise,2015,Matt Brown
The Theory of Everything,Eddie Redmayne,Felicity Jones,2014,James Marsh
The Imitation Game,Benedict Cumberbatch,Keira Knightley,2014,Morten Tyldum
Iron Man 2,Robert Downey Jr.,Scarlett Johansson,2010,Jon Favreau
Kung Fu Hustle,Stephen Chow,Qiu Yuen,2004,Stephen Chow
Mission Mangal,Akshay Kumar,Vidya Balan,2019,Jagan Shakti
Interstellar,Matthew McConaughey,Anne Hathaway,2014,Christopher Nolan
Doctor Strange,Benedict Cumberbatch,Tilda Swinton,2016,Scott Derrickson
Lucy,Benedict Cumberbatch,Morgan Freeman,2014,Luc Besson
